Identyfikator pracownika,Imię,Nazwisko,Data urodzenia,Numer telefonu,Identyfikator kontraktu,Uprawnienia do nadzoru,
52,ROZALIA,WĘGIERSKI,9051203497, 5, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
53,MICHAŁ,LITWINOWICZ,7581580777, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
54,PATRYK,LITWIN,907935949, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
55,DAWID,POLOK,762545782, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
56,IZABELA,TATAR,803431264, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
57,ŁUCJA,NIEMCZYK,7551768233, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
58,KAROL,SŁOWIAK,8132777818, 5, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
59,PAWEL,POMORSKI,81111667343, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
60,PAWEL,KRAWCZYK,6161296656, 5, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
61,JAN,WIŚNIEWSKI,842422986, 6, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
62,OLIWIA,TUREK,5911416066, 6, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
63,DOMINIK,MORAWSKI,55121488725, 6, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
64,ALEKSANDER,SWAT,6211676112, 6, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
65,KAROLINA,PRZYBYSZ,823178127, 6, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
66,IZABELA,SŁOWIAKOWSKI,8261391296, 6, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
67,DANUTA,GAL,7082126400, 6, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
68,BARBARA,PETERSBURSKI,6542876760, 6, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
69,MAREK,CZECH,6471737110, 6, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
70,KAROL,TATAR,849469981, 6, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
71,KAROL,LAMPARSKA,5911444307, 7, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
72,KAROL,MICIUN,7851447848, 7, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
73,IZABELA,KRAWCZYK,733581004, 7, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
74,LECH,PRUSIK,896432085, 7, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
75,MARTA,SZKOT,80121895831, 7, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
76,JACEK,KRAJEWSKI,7851418819, 7, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
77,MARTA,WDOWIAK,8621731840, 7, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
78,DAWID,SŁOWIAK,8781782573, 7, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
79,LEONARD,KURLANDT,738458624, 7, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
80,JAKUB,PODOLAK,6281728100, 7, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
81,MARIUSZ,KŁOSSOWSKI,8992187254, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
82,JAN,SZKOT,7810283060, 8, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
83,ANETA,ARABSKI,7681945913, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
84,WERONIKA,LEWANDOWSKI,76101635243, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
85,LECH,LAMPARSKA,743781761, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
86,MARIUSZ,SZWARC,749198112, 8, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
87,ŁUKASZ,SZWAJCAR,69111754060, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
88,PATRYCJA,GALICKI,629561584, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
89,ŁUKASZ,ŻOCHOWSKI,727803364, 8, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
90,JADWIGA,SZWEDOWSKI,568173677, 8, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
91,ALEKSANDER,SZWEDZIAK,859847926, 9, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
92,LEONARD,KRAWCZYK,90113022710, 9, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
93,PATRYCJA,GÓRSKI,7412167262, 9, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
94,DOMINIK,MADZIAR,9053094367, 9, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
95,JADWIGA,SZWEDZKI,7611107155, 9, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
96,KRYSTYNA,PRZYBYSZ,735403549, 9, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
97,MARTYNA,MAŁECKI,6811701817, 9, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
98,WOJCIECH,SZWAB,80112557212, 9, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
99,DONALD,FRANCUZ,8271046716, 9, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
100,WOJCIECH,POLOK,5710457802, 9, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
101,JOLANTA,RUSAK,8483022846, 10, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
102,LAURA,DĄBROWSKI,577775976, 10, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
103,JADWIGA,HISZPAN,6142157078, 10, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
104,JOLANTA,WĘGIERSKI,6981664572, 10, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
105,PIOTR,WYSOCKI,69111622310, 10, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
106,ARTUR,SZLONZAK,8341229200, 10, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
107,LEONARD,LAMPARSKA,8421206221, 10, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
108,BRAJAN,ŻMIJEWSKI,7172747956, 10, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
109,MARTA,POLESKI,8610975558, 10, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
110,TYMON,CZECH,832163411, 10, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
111,MACIEJ,SZLONZAK,8141272330, 11, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
112,DAMIAN,HOLENDERSKI,78122580117, 11, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
113,LAURA,KURUC,7512482215, 11, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
114,PAWEL,MOSKAL,5721410648, 11, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
115,TYTUS,TATARA,6991931757, 11, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
116,TYMON,WDOWIAK,78121328485, 11, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
117,TOMASZ,ŻYDOWSKI,88111999082, 11, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
118,JADWIGA,KASZUB,61111896049, 11, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
119,DOMINIK,KURLANDZKI,868167115, 11, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
120,WALDEMAR,PODOLAK,66111526992, 11, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
121,PATRYK,RUSIN,877701764, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
122,ŁUCJA,SŁOWACKI,8741289540, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
123,DOMINIKA,NIEMIEC,8962492646, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
124,MARIUSZ,SŁOWIAK,76102321295, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
125,TOMASZ,LANGE,553912732, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
126,LAURA,HOFFMANN,5612030476, 12, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
127,WALDEMAR,CIEŚLAK,5891855573, 12, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
128,ARTUR,CHRUSZCZEWSKI,7382699775, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
129,MARTYNA,WOŁOSZEK,67121198769, 12, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
130,ARTUR,PASTERNAK,8452764211, 12, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
131,MAREK,SASS,76111622498, 13, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
132,OLIWIA,HOLENDERSKI,886800808, 13, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
133,PIOTR,PRUS,6112350045, 13, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
134,MATEUSZ,DUŃCZYK,8731172908, 13, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
135,DANUTA,POLAK,7642467985, 13, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
136,WALDEMAR,UKRAIŃSKI,722564027, 13, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
137,LEONARD,POLESZCZUK,6591943878, 13, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
138,PATRYCJA,MORAW,6162195852, 13, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
139,ALICJA,TATARCZYK,9012972150, 13, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
140,TYTUS,CHORWAT,7893023298, 13, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
141,MACIEJ,TATAREK,8112214652, 14, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
142,KATARZYNA,KALINOWSKI,8913177673, 14, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
143,PATRYK,KOZŁOWSKI,7641132206, 14, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
144,JANUSZ,POLESKI,88102267965, 14, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
145,WALDEMAR,CYGAN,9011644375, 14, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
146,JAROSŁAW,KWIECIEŃ,7841182081, 14, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
147,TYMON,BIAŁORUSKI,7810744450, 14, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
148,ŁUCJA,SŁOWAKIEWICZ,5792232829, 14, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
149,KAROLINA,KRAJEWSKI,6410575057, 14, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
150,JAROSŁAW,LAMPARSKI,7612276502, 14, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
151,BARTOSZ,NIEMIEC,72112633909, 15, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
152,JAKUB,NIEMCZYK,65122484996, 15, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
153,KAROL,PRUŚ,8061314200, 15, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
154,MAREK,KUMAN,8862457436, 15, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
155,BARBARA,ROMUN,6071565964, 15, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
156,PIOTR,LEWANDOWSKI,6971827840, 15, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
157,ALEKSANDER,POLESZAK,6382964644, 15, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
158,JOLANTA,SZULC,638301108, 15, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
159,DANUTA,CHRUSZCZEWSKI,792878193, 15, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
160,MACIEJ,RUSNAK,848603772, 15, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
161,MICHAŁ,MILLER,686519960, 16, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
162,LECH,LITWINIUK,66121012072, 16, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
163,JANUSZ,AUSTRIJAK,8032997898, 16, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
164,KAROL,ŻUREK,7881956172, 16, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
165,ROZALIA,PIĄTEK,6412588044, 16, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
166,DOROTA,ROSJAN,69112659191, 16, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
167,LAURA,SZWAB,6712849645, 16, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
168,ALEKSANDER,KACZMAREK,7212265425, 16, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
169,DONALD,RYBICKI,5561601687, 16, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
170,MARTYNA,WĘGRZYNOWICZ,873345505, 16, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
171,PATRYK,ARABIK,5682757244, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
172,IZABELA,PRUSEK,5951544219, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
173,JADWIGA,MOSKAL,9012265507, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
174,DAMIAN,KOZŁOWSKI,803967182, 17, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
175,TOMASZ,TATAREK,8251862581, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
176,OLIWIA,GAWROŃSKI,6651420641, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
177,JAN,TATARCZUK,684379912, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
178,JANUSZ,TOWAREK,796399130, 17, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
179,BARTOSZ,BÖHM,8522354981, 17, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
180,ALEKANDRA,GAL,63121675147, 17, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
181,JANUSZ,POTOK,715335180, 18, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
182,ROZALIA,KOZŁOWSKI,8392963935, 18, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
183,JOLANTA,TATAR,7861133316, 18, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
184,DOMINIKA,HOLLAND,6442172782, 18, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
185,JAN,TATAR,85111944943, 18, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
186,IZABELA,POLOK,70121659248, 18, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
187,BENEDYKT,RUS,7873128467, 18, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
188,KRYSTYNA,ŚLONZAK,7311575059, 18, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
189,DOMINIK,RUSEK,6412155454, 18, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
190,JACEK,CZARNECKI,62112750652, 18, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
191,JOLANTA,CIEŚLAK,8861851584, 19, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
192,GERARD,OLENDER,8951429848, 19, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
193,AGATA,POLESIAK,8781209737, 19, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
194,MICHAŁ,FOGIEL,7082868034, 19, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
195,ALEKANDRA,ARABOWICZ,7412170556, 19, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
196,BENEDYKT,ŻYDOWICZ,7692487815, 19, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
197,AGATA,UKRAIŃSKI,8010570240, 19, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
198,MACIEJ,BORKOWSKI,6992435408, 19, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
199,KAROL,ŻMUDA,6212223403, 19, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
200,BRAJAN,PODOLAN,8732976294, 19, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
201,ŁUKASZ,SZWEDOWSKI,6312034089, 20, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
202,KAMILA,LITWINIUK,73111489232, 20, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
203,ANETA,LAMPARSKI,61111117454, 20, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
204,PAWEL,NOWAK,5851290486, 20, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
205,JADWIGA,GÓRAL,8991529277, 20, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
206,AGATA,NORWECKI,5721394677, 20, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
207,ALEKSANDER,PIĄTEK,6510975862, 20, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
208,PRZEMYSLAW,DOBRUCKI,7232275766, 20, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
209,MARTYNA,GALOCH,76112001508, 20, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
210,KAROL,GAL,566845029, 20, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
211,JACEK,WYRZYKOWSKI,899707869, 21, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
212,DONALD,RUSEK,7272971429, 21, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
213,WOJCIECH,POLACZEK,8221015917, 21, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
214,ANETA,HOFFMANN,8971596922, 21, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
215,JADWIGA,PRUSKI,7012361319, 21, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
216,LAURA,MACEDOŃSKI,6683158415, 21, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
217,ŁUCJA,BÖHM,8233068952, 21, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
218,PATRYCJA,ŻMUDZIN,8161497688, 21, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
219,TYTUS,MOSKAL,732784081, 21, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
220,TYMON,NIEMCZYK,7972414775, 21, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
221,BENEDYKT,OLĘDER,84101385590, 22, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
222,OLIWIER,GREC,7761807186, 22, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
