Identyfikator pracownika,Imię,Nazwisko,Data urodzenia,Telefon,Identyfikator kontraktu,Uprawnienia do nadzoru,Pesel
38,MICHAŁ,CZARNECKI,26.11.1959 00:00:00,419422785,486503054,UPRAWNIONY,84122839271
39,MARTA,PODOLEC,13.08.1963 00:00:00,901706372,2057574489,NIEUPRAWNIONY,76050408660
40,PATRYCJA,ŻMIJEWSKA,30.03.1977 00:00:00,721077718,536260673,NIEUPRAWNIONY,77060719602
41,LAURA,WIECZOREK,20.10.1973 00:00:00,787461824,13328265,NIEUPRAWNIONY,90122319564
42,WOJCIECH,NOWAK,05.03.1969 00:00:00,143666635,1428371340,NIEUPRAWNIONY,72022487013
43,LECH,POMORSKI,22.07.1975 00:00:00,943779155,1917074632,NIEUPRAWNIONY,85100831147
44,BENEDYKT,ROSJAN,08.03.1980 00:00:00,420912880,742902299,UPRAWNIONY,82031916066
45,TYTUS,RUS,03.03.1984 00:00:00,656167589,945798576,UPRAWNIONY,58111968835
46,MICHAŁ,KASZUBA,11.01.1970 00:00:00,600272182,391841145,UPRAWNIONY,81072794415
47,PRZEMYSLAW,SWAT,10.02.1982 00:00:00,866325907,1556327503,NIEUPRAWNIONY,89062517235
48,ANETA,SOCHA,14.10.1982 00:00:00,398030197,2065636144,NIEUPRAWNIONY,60100634106
49,PIOTR,UKRAIŃSKI,08.04.1974 00:00:00,211554946,685195552,UPRAWNIONY,77121172350
50,PRZEMYSLAW,PODOLSKI,05.04.1982 00:00:00,745549706,504869953,UPRAWNIONY,88060598533
51,JAROSŁAW,TATARA,01.05.1964 00:00:00,832249523,485991016,NIEUPRAWNIONY,56081152437
52,JAKUB,WĘGIER,11.07.1960 00:00:00,788441584,1851160856,NIEUPRAWNIONY,71041025800
53,TOMASZ,WOŹNIAK,20.04.1971 00:00:00,972613873,798371762,UPRAWNIONY,79050688205
54,MICHAŁ,PRUSKI,26.05.1960 00:00:00,601303394,1753457904,NIEUPRAWNIONY,77101844835
55,DOMINIKA,KURLANDT,04.03.1984 00:00:00,823515271,1789690702,NIEUPRAWNIONY,57112700370
56,JOLANTA,FOGIEL,09.08.1973 00:00:00,624710247,812875349,UPRAWNIONY,87101406655
57,ROZALIA,SASS,19.12.1990 00:00:00,970211132,1789764854,NIEUPRAWNIONY,88100509664
58,PRZEMYSLAW,SZWEDA,18.02.1956 00:00:00,117861492,37964605,NIEUPRAWNIONY,63093023202
59,KAROLINA,SZKOT,06.12.1982 00:00:00,120674658,1344638593,NIEUPRAWNIONY,78110665201
60,JACEK,DUŃCZYK,06.11.1959 00:00:00,754452039,1517753319,UPRAWNIONY,82010997639
61,PIOTR,MOSKAL,05.09.1959 00:00:00,114326778,640822644,NIEUPRAWNIONY,59041431430
62,PATRYK,SUDOŁ,21.06.1988 00:00:00,565644349,524054898,UPRAWNIONY,74122573178
63,DONALD,WYSOCKI,16.12.1967 00:00:00,815333976,801138662,NIEUPRAWNIONY,90043092153
64,ALICJA,JABŁOŃSKI,31.07.1955 00:00:00,672234038,1655025143,UPRAWNIONY,90052724270
65,WERONIKA,DĄBROWSKI,24.12.1968 00:00:00,954258681,244919397,UPRAWNIONY,77042509097
66,MICHAŁ,POLAK,04.07.1960 00:00:00,437735651,1001580463,NIEUPRAWNIONY,80090733957
67,KATARZYNA,GAWROŃSKI,21.11.1961 00:00:00,437092859,1817543924,UPRAWNIONY,65052892933
68,JAN,RUMUŃSKI,27.05.1956 00:00:00,732642818,1872556495,UPRAWNIONY,63121167683
69,JADWIGA,MADZIAR,01.08.1982 00:00:00,934118681,824301764,UPRAWNIONY,58030783711
70,KRZYSZTOF,RUMUN,25.09.1957 00:00:00,876701036,1065874212,NIEUPRAWNIONY,87111596752
71,KAROL,ŻYDOWICZ,17.12.1955 00:00:00,326851639,1333151884,UPRAWNIONY,74073047351
72,MATEUSZ,GREC,27.02.1965 00:00:00,161965737,1958621845,NIEUPRAWNIONY,71061471276
73,LAURA,SOCHA,24.01.1979 00:00:00,462035178,2000611371,UPRAWNIONY,69011549337
74,KATARZYNA,ROSJAN,17.11.1981 00:00:00,946832852,816505753,UPRAWNIONY,88072134755
75,KRZYSZTOF,AMSTERDAMSKI,21.07.1966 00:00:00,675700616,561153552,NIEUPRAWNIONY,60082562830
76,OLIWIA,WOŁYNIAK,22.09.1989 00:00:00,328182349,769895964,UPRAWNIONY,57121710487
77,JAN,KOWALSKI,14.07.1958 00:00:00,388548592,176224243,NIEUPRAWNIONY,58091700133
78,GERARD,SWAT,21.06.1970 00:00:00,465829129,712011075,UPRAWNIONY,79042057184
79,KAMILA,KURLANDT,09.06.1963 00:00:00,307777011,1907222188,UPRAWNIONY,80042236994
80,MACIEJ,DUDA,04.03.1968 00:00:00,944120726,991698325,UPRAWNIONY,65012697358
81,TYTUS,TATARA,27.01.1985 00:00:00,512698957,2080694852,UPRAWNIONY,57040851202
82,PIOTR,WDOWIAK,08.01.1978 00:00:00,217115303,1065044460,UPRAWNIONY,90100821091
83,TYTUS,LITWIN,04.01.1970 00:00:00,627903832,1229708011,UPRAWNIONY,75040690712
84,OLIWIA,BIAŁORUSKI,25.10.1962 00:00:00,114707978,31535419,NIEUPRAWNIONY,63121592669
85,PATRYK,WIECZOREK,07.01.1973 00:00:00,769107046,628239727,UPRAWNIONY,86090392708
86,MAREK,POLOK,13.09.1963 00:00:00,126065820,655748910,UPRAWNIONY,86013140213
87,KRZYSZTOF,PRUSKI,23.04.1957 00:00:00,943077637,1897183578,UPRAWNIONY,67011093008
88,BENEDYKT,WĘGRZYNOWICZ,22.08.1989 00:00:00,275729162,1528177876,UPRAWNIONY,79060999506
89,KAROLINA,TUREK,31.03.1976 00:00:00,232149723,970214484,UPRAWNIONY,84102234502
90,DOMINIK,KIJOWSKI,18.12.1964 00:00:00,843802881,195743274,NIEUPRAWNIONY,58071602927
91,JAN,MORAW,02.09.1980 00:00:00,798382318,973430229,UPRAWNIONY,71070396610
92,TOMASZ,GAWROŃSKI,26.06.1989 00:00:00,440835298,1376214426,NIEUPRAWNIONY,74122441741
93,IZABELA,SAKSON,02.09.1989 00:00:00,920033935,778958330,NIEUPRAWNIONY,68082420066
94,MICHAŁ,PRUSIK,30.08.1965 00:00:00,981810391,1069082732,NIEUPRAWNIONY,85080612559
95,KAROLINA,RUMUŃSKI,26.01.1964 00:00:00,864863123,1241180868,UPRAWNIONY,55071047169
96,JAN,NOWAK,28.09.1959 00:00:00,156285283,430464079,NIEUPRAWNIONY,79081078947
97,MARIUSZ,ŻMIJEWSKA,14.05.1971 00:00:00,468531167,1750729397,UPRAWNIONY,61050383752
98,KAMIL,POLESZAK,17.04.1960 00:00:00,717046898,693877756,UPRAWNIONY,56021044644
99,KAROL,ŚLONZAK,28.04.1985 00:00:00,311262952,1239380618,UPRAWNIONY,57042104272
100,BARBARA,ŻYDZIAK,18.11.1972 00:00:00,627816885,1965029383,UPRAWNIONY,73101801735
101,DOMINIK,RUS,31.10.1956 00:00:00,343606149,665349678,UPRAWNIONY,75040603610
102,ANETA,SZWAJCER,17.01.1973 00:00:00,332270214,1931082498,NIEUPRAWNIONY,56021311409
103,BARTOSZ,HOLLAND,18.09.1959 00:00:00,332665891,34644792,UPRAWNIONY,77072026881
104,LECH,PETERSBURSKI,11.11.1989 00:00:00,214269879,286278740,NIEUPRAWNIONY,57082107773
105,BARBARA,MAZUR,24.05.1990 00:00:00,969162394,930985867,UPRAWNIONY,76030488941
106,WALDEMAR,PRUŚ,22.03.1985 00:00:00,612967850,1772856003,NIEUPRAWNIONY,80081002287
107,DANUTA,NIEMCZYK,25.08.1960 00:00:00,482955987,1519898383,NIEUPRAWNIONY,86042567554
108,LECH,SZLĄZAK,08.12.1977 00:00:00,191953907,1142372409,NIEUPRAWNIONY,90120459976
109,PATRYK,PODOLEC,20.11.1969 00:00:00,865024008,1236148551,NIEUPRAWNIONY,63110905777
110,DAMIAN,PODOLAK,28.07.1978 00:00:00,975852542,422565346,NIEUPRAWNIONY,89031178202
111,DOMINIK,SŁOWAK,06.11.1972 00:00:00,332051767,1494265784,NIEUPRAWNIONY,75021016569
112,OLIWIER,WIECZOREK,06.08.1964 00:00:00,312094141,1678282739,UPRAWNIONY,75011182104
113,ALICJA,KURLANDT,21.02.1974 00:00:00,221139400,335308609,NIEUPRAWNIONY,64042497977
114,MAREK,SUDOŁ,24.12.1989 00:00:00,369791132,1045555789,UPRAWNIONY,72031448676
115,MARTYNA,LITWINIUK,24.12.1956 00:00:00,931062894,164171155,UPRAWNIONY,87021525391
116,GERARD,WOŁYNIAK,08.03.1971 00:00:00,537526078,1489305859,UPRAWNIONY,73072861044
117,MACIEJ,KRAWCZYK,26.12.1958 00:00:00,414399052,2087185191,UPRAWNIONY,65050431612
118,JAROSŁAW,MADZIARA,07.08.1989 00:00:00,319131014,1699847251,UPRAWNIONY,78110807909
119,KATARZYNA,SZWED,21.08.1988 00:00:00,342907009,1313923546,NIEUPRAWNIONY,62041088729
120,ŁUKASZ,ROMUN,28.09.1957 00:00:00,595390480,1807937749,UPRAWNIONY,71102977348
121,AGATA,RUSIN,10.12.1984 00:00:00,293196957,1104828336,UPRAWNIONY,83112755243
122,DAWID,BRANDENBURG,09.09.1990 00:00:00,549488047,1987405244,NIEUPRAWNIONY,82030590798
123,DOROTA,PODGÓRSKI,09.12.1990 00:00:00,193898820,854848093,UPRAWNIONY,75052631147
124,KAROLINA,SZWEDZIAK,16.06.1978 00:00:00,307312216,171342140,UPRAWNIONY,80112221776
125,OLIWIER,DUŃCZYK,11.10.1963 00:00:00,644143517,591227706,NIEUPRAWNIONY,87102414632
126,KRYSTYNA,SUDOŁ,13.11.1984 00:00:00,185861386,741791462,UPRAWNIONY,59102943094
127,MAREK,SAKSON,21.07.1979 00:00:00,525848118,843331302,UPRAWNIONY,60011931223
128,DOMINIK,LITWIN,05.07.1977 00:00:00,374770907,764813140,NIEUPRAWNIONY,84101402377
129,OLIWIA,WĘGRZYN,11.10.1970 00:00:00,560788538,112105615,UPRAWNIONY,89012679378
130,GERARD,UKRAINIEC,22.02.1983 00:00:00,779096623,186589829,NIEUPRAWNIONY,66010594717
131,PATRYCJA,GÓRSKI,07.01.1970 00:00:00,603600775,742848512,UPRAWNIONY,81092435684
132,LEONARD,PODOLSKI,19.01.1986 00:00:00,268351238,850450663,NIEUPRAWNIONY,71042508431
133,KATARZYNA,PRUSIK,01.02.1964 00:00:00,544227800,1799516339,UPRAWNIONY,66091721029
134,MICHAŁ,KALINOWSKI,05.02.1958 00:00:00,465003929,1441594831,UPRAWNIONY,78012034918
135,DOMINIK,PASTERNAK,19.09.1957 00:00:00,524854189,438698628,NIEUPRAWNIONY,63030787560
136,KAMILA,PRUSKI,18.11.1971 00:00:00,880464888,1773659836,UPRAWNIONY,81020676178
137,JOLANTA,LITWINOWICZ,26.12.1960 00:00:00,716114125,1775298385,NIEUPRAWNIONY,63100134111
138,TOMASZ,WOŹNIAK,20.11.1981 00:00:00,719288158,1037043495,NIEUPRAWNIONY,86030307409
139,JACEK,GALICKI,28.08.1964 00:00:00,702197343,1482238891,NIEUPRAWNIONY,60032978460
140,JACEK,OLENDER,03.01.1970 00:00:00,510448806,697810905,UPRAWNIONY,69031116745
141,TYTUS,TOWAREK,09.03.1986 00:00:00,136734091,801514404,UPRAWNIONY,69033033882
142,ANETA,PRZYBYSZ,17.03.1990 00:00:00,766045624,776266429,NIEUPRAWNIONY,55102990414
143,KAROL,MADZIARA,15.08.1986 00:00:00,263749630,1753012523,NIEUPRAWNIONY,75081961463
144,KAROLINA,BORKOWSKI,26.06.1969 00:00:00,470010045,2049239127,NIEUPRAWNIONY,71082781600
145,IZABELA,RUSAK,31.12.1976 00:00:00,125106727,1944492751,NIEUPRAWNIONY,57060725603
146,KRZYSZTOF,KAŁUŻA,19.02.1980 00:00:00,152856439,1378392315,UPRAWNIONY,62113059116
147,MARTA,WESOŁOWSKI,22.05.1988 00:00:00,572133764,945367130,NIEUPRAWNIONY,60031467400
148,TOMASZ,ŻYDZIK,19.07.1974 00:00:00,599543164,1850619614,UPRAWNIONY,89052043574
149,JANUSZ,KIJOWSKI,18.01.1972 00:00:00,294868583,721197730,NIEUPRAWNIONY,83041117502
150,BRAJAN,PRZYBYSZ,21.08.1980 00:00:00,737981503,188943882,UPRAWNIONY,64031870724
151,JAKUB,GÓRAL,08.04.1973 00:00:00,829813748,2045534236,NIEUPRAWNIONY,88021242336
152,ARTUR,POLESZCZUK,06.02.1976 00:00:00,694204445,1843412068,UPRAWNIONY,75122096757
153,PIOTR,NIEMCZYK,19.04.1966 00:00:00,180005166,1711221758,NIEUPRAWNIONY,73020168013
154,JOLANTA,WDOWIAK,29.08.1979 00:00:00,185023255,1516222966,UPRAWNIONY,83092592809
155,WOJCIECH,KRAWCZYK,08.09.1974 00:00:00,675804511,883759144,NIEUPRAWNIONY,64062037727
156,TYTUS,PODOLEC,04.02.1986 00:00:00,783433881,1696467861,UPRAWNIONY,81111882779
157,ŁUKASZ,ŁOTYSZ,15.12.1958 00:00:00,209231759,2108743864,UPRAWNIONY,60021745681
158,LAURA,ARABIK,24.01.1956 00:00:00,634222724,439188458,UPRAWNIONY,83092542518
159,BENEDYKT,SZWEDZKI,19.05.1990 00:00:00,950313756,783834057,UPRAWNIONY,87112282327
160,MICHAŁ,SZWAJCER,01.08.1956 00:00:00,150060949,762600596,UPRAWNIONY,63082774516
161,WOJCIECH,PRUSIK,07.11.1968 00:00:00,553637858,1243389240,UPRAWNIONY,82042265779
162,PAWEL,POLOCZEK,22.02.1985 00:00:00,475375588,1811234513,UPRAWNIONY,85041733641
163,JADWIGA,SZKOT,15.06.1977 00:00:00,752286513,506466345,NIEUPRAWNIONY,83041629559
164,ALICJA,ŻYDOWSKI,20.10.1970 00:00:00,740609805,2140597519,UPRAWNIONY,75040193909
165,TOMASZ,SZWEDA,15.07.1971 00:00:00,130781859,733942269,NIEUPRAWNIONY,73062697792
166,MAREK,GÓRAL,14.08.1984 00:00:00,594902327,945410589,UPRAWNIONY,87112273875
167,KAMIL,RUMUN,11.04.1961 00:00:00,234773983,1769923470,NIEUPRAWNIONY,59011733035
168,ŁUCJA,SZULC,20.12.1956 00:00:00,968391684,829433972,UPRAWNIONY,70072430379
169,JOLANTA,DUDA,07.01.1961 00:00:00,135507417,249648237,UPRAWNIONY,62021780421
170,TYMON,WOŹNIAK,01.11.1978 00:00:00,611470533,428019874,NIEUPRAWNIONY,85020465005
171,DOMINIK,TATARZYN,15.05.1973 00:00:00,496927514,445703975,NIEUPRAWNIONY,85071321918
172,MAREK,RUSAK,20.09.1970 00:00:00,670921936,1010014384,NIEUPRAWNIONY,86081198111
173,JOLANTA,ŻMUDA,20.09.1978 00:00:00,787108642,1029315335,UPRAWNIONY,83101700650
174,DOROTA,WĘGRZYNOWICZ,29.10.1983 00:00:00,277097646,188337901,NIEUPRAWNIONY,62072816615
175,DOROTA,WDOWIAK,08.03.1980 00:00:00,176865338,1197107378,NIEUPRAWNIONY,81113051877
176,LAURA,SAS,22.03.1981 00:00:00,318351621,211056712,UPRAWNIONY,77080387770
177,TYTUS,MAŁECKI,15.10.1984 00:00:00,421131615,1504595857,UPRAWNIONY,55110765352
178,MARTA,CZESKI,16.11.1983 00:00:00,413841764,1281207039,UPRAWNIONY,69042066548
179,BRAJAN,SZWAJCER,16.05.1985 00:00:00,314389195,1977501772,UPRAWNIONY,69092677750
180,DAMIAN,NIEMIEC,08.09.1960 00:00:00,780376470,1121637449,UPRAWNIONY,66060468752
181,TYMON,GREC,18.03.1970 00:00:00,648765565,402536737,UPRAWNIONY,89013142017
182,OLIWIA,HOLENDER,26.11.1987 00:00:00,111876775,1981485062,NIEUPRAWNIONY,90021448193
183,ALICJA,PRUSIK,06.07.1987 00:00:00,302092422,630078518,NIEUPRAWNIONY,77011522046
184,WOJCIECH,LITWIN,07.07.1977 00:00:00,697661580,1269791167,UPRAWNIONY,72052475764
185,AGATA,ŻMIJEWSKI,29.08.1963 00:00:00,460928241,1934760126,NIEUPRAWNIONY,55022137110
186,MACIEJ,SIKORA,23.04.1988 00:00:00,458249597,550955280,UPRAWNIONY,59010133834
187,MARIUSZ,LANGE,20.08.1966 00:00:00,273497201,129087032,UPRAWNIONY,86070986894
188,KRZYSZTOF,LITWIN,04.08.1965 00:00:00,436610538,1963760720,UPRAWNIONY,66102795241
189,PAWEL,PETERSBURSKI,02.09.1964 00:00:00,999346077,1080310739,NIEUPRAWNIONY,82030980650
190,TYTUS,FOGIEL,26.07.1976 00:00:00,980240461,953030767,UPRAWNIONY,70112951130
191,JANUSZ,KWIATKOWSKI,03.12.1966 00:00:00,817281369,831713049,NIEUPRAWNIONY,56092037768
192,KATARZYNA,GALOCH,11.03.1982 00:00:00,379006296,1199897422,UPRAWNIONY,85031497496
193,MICHAŁ,SLEZAK,14.08.1982 00:00:00,971181140,962932316,UPRAWNIONY,71100831059
194,KRYSTYNA,SŁOWIAKOWSKI,24.10.1971 00:00:00,599160391,950665035,NIEUPRAWNIONY,80091727568
195,PATRYCJA,DĄBROWSKI,26.10.1967 00:00:00,890431134,81740185,NIEUPRAWNIONY,55121569994
196,ALEKSANDER,SZWEDOWSKI,28.07.1984 00:00:00,793606048,1321935875,NIEUPRAWNIONY,68120847540
197,TYTUS,FOGIEL,20.02.1969 00:00:00,124354407,1740759594,UPRAWNIONY,64052259983
198,BARBARA,CICHOCKI,13.03.1982 00:00:00,997928078,1877557110,UPRAWNIONY,65080833461
199,OLIWIER,ARABIK,18.02.1958 00:00:00,856865333,1310063306,UPRAWNIONY,88111039040
200,ANETA,SOCHA,01.05.1956 00:00:00,561683290,407667195,NIEUPRAWNIONY,70071437178
201,JANUSZ,HOLENDERSKI,11.02.1961 00:00:00,299070197,76567251,UPRAWNIONY,89030470528
202,OLIWIER,TATARA,29.07.1959 00:00:00,111268639,849004026,NIEUPRAWNIONY,69063050393
203,LEONARD,SZLONZAK,28.12.1980 00:00:00,982234226,1231889049,NIEUPRAWNIONY,65072878555
204,TYTUS,BORKOWSKI,21.02.1965 00:00:00,532296902,669411187,UPRAWNIONY,82032318957
205,KAROL,WIŚNIEWSKI,29.06.1985 00:00:00,588595148,1621744971,UPRAWNIONY,60123012761
206,JANUSZ,ŻYDEK,21.08.1959 00:00:00,972363754,1096817199,UPRAWNIONY,60101525110
207,DOROTA,POLACZEK,25.03.1973 00:00:00,171644586,707482237,UPRAWNIONY,76060562729
208,OLIWIER,ZIĘBA,03.05.1979 00:00:00,193764328,1868247061,NIEUPRAWNIONY,57121935883
209,ŁUKASZ,UKRAINIEC,17.04.1971 00:00:00,496239158,168027900,NIEUPRAWNIONY,63102657456
210,ALEKSANDER,ŻMUDZIN,07.07.1966 00:00:00,518294612,1735791801,UPRAWNIONY,87121394731
211,DOMINIK,WĘGRZYN,18.11.1967 00:00:00,655555004,340848737,UPRAWNIONY,79070486457
212,MARTYNA,DĄBROWSKI,02.02.1961 00:00:00,394030392,569276365,UPRAWNIONY,82060166304
213,JOLANTA,CHRUSZCZEWSKI,15.02.1984 00:00:00,533984051,1298652657,UPRAWNIONY,72060499282
214,JAKUB,GALICKI,03.08.1986 00:00:00,968687721,1388793333,NIEUPRAWNIONY,75080805378
215,KRYSTYNA,MAŁECKI,23.12.1958 00:00:00,834044898,15440988,NIEUPRAWNIONY,78011863420
216,DOMINIKA,KRAWCZYK,17.06.1956 00:00:00,761651681,847813195,NIEUPRAWNIONY,57083147913
217,JANUSZ,POLESKI,22.12.1955 00:00:00,937619525,692800605,UPRAWNIONY,82100878400
218,PAWEL,ŻMIJEWSKI,15.08.1984 00:00:00,433282273,534759852,UPRAWNIONY,58101775007
219,WERONIKA,SŁOWIAK,27.04.1965 00:00:00,377046280,383273043,UPRAWNIONY,69011191710
220,DAWID,DOBRUCKI,15.08.1962 00:00:00,871370171,582604801,UPRAWNIONY,88081328229
221,KRYSTYNA,RUMUŃSKI,24.05.1977 00:00:00,171450053,1851447641,NIEUPRAWNIONY,70030382733
222,JAROSŁAW,TATARSKI,13.01.1987 00:00:00,665130268,1122719290,NIEUPRAWNIONY,57093034766
223,BRAJAN,SZWEDOWSKI,30.09.1985 00:00:00,414213263,1187679188,NIEUPRAWNIONY,75072042839
224,BARTOSZ,MADZIAR,27.02.1979 00:00:00,200025744,257269809,UPRAWNIONY,83021078286
225,PIOTR,PRUSIK,15.06.1982 00:00:00,268259504,1786450812,UPRAWNIONY,55070699718
226,ARTUR,PRZYBYSZ,09.05.1987 00:00:00,610541320,1419719924,UPRAWNIONY,76012867085
227,JAROSŁAW,TATARCZUK,08.03.1957 00:00:00,704455135,2054774884,UPRAWNIONY,59070852254
228,GERARD,TURECKI,08.05.1976 00:00:00,184109400,159569540,NIEUPRAWNIONY,59031256837
229,BARBARA,ŻMIJEWSKA,31.01.1977 00:00:00,240172508,414912217,UPRAWNIONY,80062313870
230,LECH,KASZUBA,04.09.1955 00:00:00,165773194,93503828,NIEUPRAWNIONY,78111975106
231,DAWID,PODOLEC,26.06.1981 00:00:00,960100734,2129907085,NIEUPRAWNIONY,63062238521
232,MACIEJ,KALINOWSKI,08.09.1985 00:00:00,182725330,159301445,NIEUPRAWNIONY,76021909713
233,OLIWIA,DUDEK,05.03.1965 00:00:00,771114352,2013941168,UPRAWNIONY,60061464450
234,BARBARA,ZIĘBA,14.01.1981 00:00:00,673055750,803831099,NIEUPRAWNIONY,65082818838
235,BARTOSZ,LITWINIUK,18.10.1975 00:00:00,881119394,979095973,NIEUPRAWNIONY,65041348157
236,ŁUKASZ,LITWIN,25.02.1969 00:00:00,580003445,465475931,UPRAWNIONY,88101215596
237,WALDEMAR,GÓRSKI,15.04.1967 00:00:00,368746457,1881922688,NIEUPRAWNIONY,81042090688
238,LECH,POLESZUK,09.09.1962 00:00:00,793090228,533468007,NIEUPRAWNIONY,56110779990
239,MATEUSZ,RUSEK,25.12.1977 00:00:00,409902685,2088270705,NIEUPRAWNIONY,64060883423
240,KATARZYNA,TURECKI,27.10.1990 00:00:00,536487455,516757013,NIEUPRAWNIONY,79031639618
241,KAROLINA,BRANDENBURGER,20.02.1961 00:00:00,105632438,1685457605,NIEUPRAWNIONY,68042164028
242,TYTUS,KRAWCZYK,08.09.1982 00:00:00,463205722,1025917410,NIEUPRAWNIONY,74102920269
243,PATRYCJA,SZWAJCER,20.04.1986 00:00:00,168609835,262938273,UPRAWNIONY,86103102190
244,ARTUR,OLĘDER,26.04.1985 00:00:00,209500436,1762744626,NIEUPRAWNIONY,89022560713
245,KRYSTYNA,POLESZCZUK,06.01.1978 00:00:00,408395845,1688872629,UPRAWNIONY,57081875368
246,ŁUKASZ,DUDA,17.02.1980 00:00:00,501619144,99678544,NIEUPRAWNIONY,74010695688
247,WALDEMAR,AMSTERDAMSKI,18.04.1979 00:00:00,873651122,1494362368,UPRAWNIONY,63062666744
248,KRYSTYNA,KURLAND,08.09.1978 00:00:00,849258346,1378416329,UPRAWNIONY,74013174947
249,DOMINIKA,PRUSAK,16.08.1988 00:00:00,901096611,2103193000,UPRAWNIONY,75062177020
250,DOROTA,LITWINOWICZ,13.07.1974 00:00:00,272468573,120524777,UPRAWNIONY,74092845149
251,TYTUS,KURLANDA,14.05.1955 00:00:00,230674694,426342073,UPRAWNIONY,86070214063
252,PIOTR,SZLONZAK,06.02.1962 00:00:00,468708648,453291125,UPRAWNIONY,82062427194
253,AGATA,MAZUREK,02.07.1971 00:00:00,651308853,2030988345,NIEUPRAWNIONY,68030255486
254,IZABELA,SZWAJCARSKI,28.07.1964 00:00:00,379854645,339384116,UPRAWNIONY,55111545740
